* Dictionary *
score2002:		percentage of votes in the second round of the 2002 elections
score1997:		percentage of votes in the second round of the 1997 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
expenditures:	campaign expenditures
party_support:	party contributions to campaing expenditures
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	score2002	district	score2007	male	male_opp	party	age	age_opp	status	status_opp
"aubin"	"loic"	.5062	"35//4"	.4707	1	1	"UMP"	43	53.33333	"N"	"N"
"hugon"	"jean yves"	.5297	"36//1"	.4945	1	1	"UMP"	58.41667	55.33333	"I"	"N"
"sapin"	"michel"	.4703	"36//1"	.5055	1	1	"PS"	55.33333	58.41667	"N"	"I"
"forissier"	"nicolas"	.5724	"36//2"	.5415	1	0	"UMP"	46.16667	61.25	"I"	"N"
"bechtel"	"marie francoise"	.4276	"36//2"	.4585	0	1	"PS"	61.25	46.16667	"N"	"I"
"chanteguet"	"jean paul"	.5011	"36//3"	.5348	1	1	"PS"	58	56.91667	"I"	"M"
"pousset"	"bernard"	.4989	"36//3"	.4652	1	1	"UMP"	56.91667	58	"M"	"I"
"donnedieu de vabres"	"renaud"	.5157	"37//1"	.4893	1	1	"UMP"	53.25	45.08333	"I"	"N"
"gille"	"jean patrick"	.4843	"37//1"	.5107	1	1	"PS"	45.08333	53.25	"N"	"I"
"greff"	"claude"	.5325	"37//2"	.5399	0	0	"UMP"	53.5	34.33333	"I"	"N"
"fortier"	"melanie"	.4675	"37//2"	.4601	0	0	"PS"	34.33333	53.5	"N"	"I"
"descamps"	"jean jacques"	.5168	"37//3"	.4978	1	0	"UMP"	72.25	48.25	"I"	"L"
"touraine"	"marisol"	.4832	"37//3"	.5022	0	1	"PS"	48.25	72.25	"L"	"I"
"novelli"	"herve"	.5367	"37//4"	.5256	1	1	"UMP"	58.25	51.25	"I"	"L"
"le breton"	"philippe"	.4633	"37//4"	.4744	1	1	"PS"	51.25	58.25	"L"	"I"
"briand"	"philippe"	.5795	"37//5"	.5537	1	0	"UMP"	46.83333	44.41667	"I"	"L"
"roiron"	"claude"	.4205	"37//5"	.4463	0	1	"PS"	44.41667	46.83333	"L"	"I"
"carignon"	"alain"	.5423	"38//1"	.3697	1	0	"UMP"	58.16667	52.83333	"N"	"N"
"fioraso"	"genevieve"	.4577	"38//1"	.6303	0	1	"PS"	52.83333	58.16667	"N"	"N"
"brottes"	"francois"	.511	"38//5"	.5336	1	1	"PS"	51.25	48.91667	"I"	"N"
"savin"	"michel"	.489	"38//5"	.4664	1	1	"UMP"	48.91667	51.25	"N"	"I"
"moyne bressand"	"alain"	.6093	"38//6"	.5981	1	0	"UMP"	61.58333	39	"I"	"N"
"finet girard"	"laurence"	.3907	"38//6"	.4019	0	1	"PS"	39	61.58333	"N"	"I"
"remiller"	"jacques"	.564	"38//8"	.5351	1	1	"UMP"	66.33334	34.58333	"I"	"N"
"binet"	"erwann"	.436	"38//8"	.4649	1	1	"PS"	34.58333	66.33334	"N"	"I"
"vallini"	"andre"	.5406	"38//9"	.5973	1	1	"PS"	50.58333	29.58333	"I"	"N"
"de sans nicolas"	"fabien"	.4594	"38//9"	.4027	1	1	"UMP"	29.58333	50.58333	"N"	"I"
"bianco"	"jean louis"	.5079	"4//1"	.5232	1	0	"PS"	64.08334	56.33333	"I"	"N"
"barreille"	"eliane"	.4921	"4//1"	.4768	0	1	"UMP"	56.33333	64.08334	"N"	"I"
"spagnou"	"daniel"	.5991	"4//2"	.5397	1	1	"UMP"	66.75	41.08333	"I"	"N"
"castaner"	"christophe"	.4009	"4//2"	.4603	1	1	"PS"	41.08333	66.75	"N"	"I"
"vidalies"	"alain"	.5208	"40//1"	.5308	1	0	"PS"	56.25	31.33333	"I"	"N"
"berthelon"	"marie constance"	.4792	"40//1"	.4692	0	1	"UMP"	31.33333	56.25	"N"	"I"
"dufau"	"jean pierre"	.5239	"40//2"	.5531	1	1	"PS"	63.58333	63.33333	"I"	"L"
"forte"	"jacques"	.4761	"40//2"	.4469	1	1	"UMP"	63.33333	63.58333	"L"	"I"
"emmanuelli"	"henri"	.6047	"40//3"	.5879	1	1	"PS"	62.41667	32	"I"	"N"
"tauzin"	"arnaud"	.3953	"40//3"	.4121	1	1	"UMP"	32	62.41667	"N"	"I"
"martin lalande"	"patrice"	.5684	"41//2"	.5515	1	1	"UMP"	60	57.08333	"I"	"L"
"lorgeoux"	"jeanny"	.4316	"41//2"	.4485	1	1	"PS"	57.08333	60	"L"	"I"
"grossetete"	"francoise"	.5186	"42//1"	.4787	0	1	"UMP"	61.41667	35.16667	"N"	"N"
"juanico"	"regis"	.4814	"42//1"	.5213	1	0	"PS"	35.16667	61.41667	"N"	"N"
"cabal"	"christian"	.5367	"42//2"	.4601	1	1	"UMP"	63.75	51.33333	"I"	"N"
"gagnaire"	"jean louis"	.4633	"42//2"	.5399	1	1	"PS"	51.33333	63.75	"N"	"I"
"nicolin"	"yves"	.5491	"42//5"	.5067	1	0	"UMP"	44.25	36.08333	"I"	"N"
"deroche"	"laure"	.4509	"42//5"	.4933	0	1	"PS"	36.08333	44.25	"N"	"I"
"proriol"	"jean"	.5791	"43//2"	.5362	1	1	"UMP"	72.91666	54.75	"I"	"N"
"chapaveire"	"andre"	.4209	"43//2"	.4638	1	1	"PS"	54.75	72.91666	"N"	"I"
"clergeau"	"marie francoise"	.5037	"44//2"	.5476	0	1	"PS"	40.75	59.41667	"I"	"L"
"pinte"	"francois"	.4963	"44//2"	.4524	1	0	"UMP"	59.41667	40.75	"L"	"I"
"priou"	"christophe"	.5575	"44//7"	.5785	1	0	"UMP"	49.41667	60.16667	"I"	"N"
"l'honen"	"adeline"	.4425	"44//7"	.4215	0	1	"PS"	60.16667	49.41667	"N"	"I"
"rabin"	"monique"	.4111	"44//9"	.47	0	1	"PS"	52.58333	56.33333	"L"	"N"
"boennec"	"philippe"	.5889	"44//9"	.53	1	0	"UMP"	56.33333	52.58333	"N"	"L"
"carre"	"olivier"	.5946	"45//1"	.5495	1	0	"UMP"	46.25	59.08333	"N"	"N"
"mialot"	"marie madeleine"	.4054	"45//1"	.4505	0	1	"PS"	59.08333	46.25	"N"	"N"
"charie"	"jean paul"	.6374	"45//5"	.5891	1	0	"UMP"	55.33333	37	"I"	"N"
"canette"	"carole"	.3626	"45//5"	.4109	0	1	"PS"	37	55.33333	"N"	"I"
"roumegoux"	"michel"	.5095	"46//1"	.4503	1	0	"UMP"	59.08333	55.25	"I"	"N"
"orliac"	"dominique"	.4905	"46//1"	.5497	0	1	"PS"	55.25	59.08333	"N"	"I"
"launay"	"jean"	.5316	"46//2"	.5928	1	0	"PS"	54.58333	56.33333	"I"	"L"
"martignac"	"monique"	.4684	"46//2"	.4072	0	1	"UMP"	56.33333	54.58333	"L"	"I"
"diefenbacher"	"michel"	.5706	"47//2"	.5619	1	1	"UMP"	59.58333	64.5	"I"	"L"
