* Dictionary *
cycle:		cycle # (supergame within a session)
period:		period # (period within a cycle)
beta:			beta, = 999 if one-shot treatment (OS), = 999999 if infinity treatment
z:			public signal, set to missing if beta = 999999, or in two occasion because it was not recorded
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a cycle
id:			id #, constant within a session
**************

cycle	period	beta	z	date	coop	group	id
2	16	0	20	111301	1	24	9
3	1	0	20	111301	1	36	9
3	2	0	20	111301	1	36	9
3	3	0	20	111301	1	36	9
4	1	0	20	111301	1	42	9
4	2	0	20	111301	1	42	9
4	3	0	20	111301	1	42	9
4	4	0	20	111301	1	42	9
4	5	0	20	111301	1	42	9
4	6	0	20	111301	1	42	9
4	7	0	20	111301	1	42	9
4	8	0	20	111301	1	42	9
4	9	0	20	111301	1	42	9
4	10	0	20	111301	1	42	9
4	11	0	20	111301	1	42	9
4	12	0	20	111301	1	42	9
4	13	0	20	111301	1	42	9
4	14	0	20	111301	1	42	9
4	15	0	20	111301	1	42	9
4	16	0	20	111301	1	42	9
5	1	0	20	111301	1	54	9
5	2	0	20	111301	1	54	9
5	3	0	20	111301	1	54	9
5	4	0	20	111301	1	54	9
5	5	0	20	111301	1	54	9
6	1	0	20	111301	1	69	9
6	2	0	20	111301	1	69	9
6	3	0	18	111301	1	69	9
6	4	0	18	111301	0	69	9
6	5	0	18	111301	0	69	9
6	6	0	20	111301	1	69	9
7	1	0	20	111301	1	80	9
7	2	0	20	111301	1	80	9
8	1	0	20	111301	1	92	9
8	2	0	20	111301	1	92	9
8	3	0	20	111301	1	92	9
8	4	0	20	111301	1	92	9
8	5	0	20	111301	1	92	9
8	6	0	20	111301	1	92	9
8	7	0	20	111301	1	92	9
8	8	0	20	111301	1	92	9
8	9	0	20	111301	1	92	9
8	10	0	20	111301	1	92	9
8	11	0	20	111301	1	92	9
8	12	0	20	111301	1	92	9
8	13	0	20	111301	1	92	9
8	14	0	20	111301	1	92	9
8	15	0	20	111301	1	92	9
8	16	0	18	111301	1	92	9
8	17	0	16	111301	0	92	9
8	18	0	16	111301	0	92	9
8	19	0	16	111301	0	92	9
8	20	0	18	111301	0	92	9
8	21	0	20	111301	1	92	9
8	22	0	20	111301	1	92	9
1	1	0	20	111301	1	4	10
1	2	0	18	111301	0	4	10
1	3	0	20	111301	1	4	10
1	4	0	18	111301	1	4	10
2	1	0	20	111301	1	17	10
2	2	0	18	111301	0	17	10
2	3	0	16	111301	0	17	10
2	4	0	16	111301	0	17	10
2	5	0	20	111301	1	17	10
2	6	0	20	111301	1	17	10
2	7	0	20	111301	1	17	10
2	8	0	18	111301	0	17	10
2	9	0	16	111301	0	17	10
2	10	0	18	111301	1	17	10
2	11	0	18	111301	1	17	10
