* Dictionary *
date:       session date (month/day/year/*, * is a decimal to separate different sessions conducted on the same day)
random:     sessions with the same value of random had the same random termination sequence
treatment:	= 1 if RT, = 2 if D + RT, = 3 if BRT, = 4 if D + C (see paper for details) 
id:         id #, constant through session
match:      match #
round:      round #
group:      identifies subjects that were grouped together for a match
valid:      = 1 if round counts toward final payoffs and is not last, = 0 if round counts toward final payoff and is last, = -1 if round does not count towards final payoffs; except for treatment = 2 where it takes on value 0 when the random number > 0.75 and -1 afterward, even if the game continued because it was in the front loaded part with payoff discounting.
spe:        = 1 if joint cooperation can be supported in equilibrium; 0 o/w
coop:       = 1 if subject cooperated, = 0 o/w
**************

date	random	treatment	id	match	round	group	valid	spe	coop
110609.1	1	1	4	8	1	75	1	1	1
110609.1	1	1	4	8	2	75	1	1	1
110609.1	1	1	4	8	3	75	1	1	1
110609.1	1	1	4	8	4	75	1	1	1
110609.1	1	1	4	8	5	75	0	1	1
110609.1	1	1	4	9	1	84	1	1	1
110609.1	1	1	4	9	2	84	1	1	1
110609.1	1	1	4	9	3	84	1	1	1
110609.1	1	1	4	9	4	84	1	1	1
110609.1	1	1	4	9	5	84	1	1	1
110609.1	1	1	4	9	6	84	1	1	1
110609.1	1	1	4	9	7	84	1	1	1
110609.1	1	1	4	9	8	84	1	1	1
110609.1	1	1	4	9	9	84	0	1	1
110609.1	1	1	4	10	1	92	1	1	1
110609.1	1	1	4	10	2	92	0	1	1
110609.1	1	1	4	11	1	103	1	1	1
110609.1	1	1	4	11	2	103	1	1	0
110609.1	1	1	4	11	3	103	1	1	0
110609.1	1	1	4	11	4	103	1	1	0
110609.1	1	1	4	11	5	103	1	1	0
110609.1	1	1	4	11	6	103	1	1	0
110609.1	1	1	4	11	7	103	1	1	0
110609.1	1	1	4	11	8	103	1	1	0
110609.1	1	1	4	11	9	103	1	1	0
110609.1	1	1	4	11	10	103	0	1	0
110609.1	1	1	4	12	1	114	1	1	1
110609.1	1	1	4	12	2	114	1	1	1
110609.1	1	1	4	12	3	114	1	1	1
110609.1	1	1	4	12	4	114	1	1	1
110609.1	1	1	4	12	5	114	1	1	1
110609.1	1	1	4	12	6	114	1	1	1
110609.1	1	1	4	12	7	114	1	1	1
110609.1	1	1	4	12	8	114	1	1	1
110609.1	1	1	4	12	9	114	1	1	1
110609.1	1	1	4	12	10	114	0	1	1
110609.1	1	1	4	13	1	123	1	0	0
110609.1	1	1	4	13	2	123	1	0	0
110609.1	1	1	4	13	3	123	1	0	0
110609.1	1	1	4	13	4	123	1	0	0
110609.1	1	1	4	13	5	123	0	0	0
110609.1	1	1	4	14	1	135	1	0	1
110609.1	1	1	4	14	2	135	1	0	1
110609.1	1	1	4	14	3	135	1	0	0
110609.1	1	1	4	14	4	135	0	0	1
110609.1	1	1	4	15	1	144	1	0	1
110609.1	1	1	4	15	2	144	1	0	0
110609.1	1	1	4	15	3	144	1	0	0
110609.1	1	1	4	15	4	144	1	0	0
110609.1	1	1	4	15	5	144	1	0	0
110609.1	1	1	4	15	6	144	1	0	0
110609.1	1	1	4	15	7	144	1	0	0
110609.1	1	1	4	15	8	144	0	0	0
110609.1	1	1	4	16	1	153	1	0	1
110609.1	1	1	4	16	2	153	0	0	0
110609.1	1	1	4	17	1	165	1	0	0
110609.1	1	1	4	17	2	165	1	0	0
110609.1	1	1	4	17	3	165	1	0	1
110609.1	1	1	4	17	4	165	1	0	0
110609.1	1	1	4	17	5	165	1	0	1
110609.1	1	1	4	17	6	165	1	0	0
110609.1	1	1	4	17	7	165	1	0	1
110609.1	1	1	4	17	8	165	1	0	0
110609.1	1	1	4	17	9	165	1	0	1
110609.1	1	1	4	17	10	165	1	0	0
110609.1	1	1	4	17	11	165	1	0	1
110609.1	1	1	4	17	12	165	0	0	0
110609.1	1	1	4	18	1	173	1	0	0
110609.1	1	1	4	18	2	173	1	0	1
110609.1	1	1	4	18	3	173	1	0	0
110609.1	1	1	4	18	4	173	0	0	1
110609.1	1	1	5	1	1	4	1	1	0
110609.1	1	1	5	1	2	4	0	1	1
110609.1	1	1	5	2	1	15	1	1	0
110609.1	1	1	5	2	2	15	1	1	0
110609.1	1	1	5	2	3	15	0	1	1
110609.1	1	1	5	3	1	26	1	1	0
110609.1	1	1	5	3	2	26	1	1	0
110609.1	1	1	5	3	3	26	1	1	0
110609.1	1	1	5	3	4	26	0	1	0
110609.1	1	1	5	4	1	35	1	1	0
110609.1	1	1	5	4	2	35	0	1	0
110609.1	1	1	5	5	1	45	1	1	0
110609.1	1	1	5	5	2	45	1	1	0
110609.1	1	1	5	5	3	45	1	1	1
110609.1	1	1	5	5	4	45	1	1	0
110609.1	1	1	5	5	5	45	0	1	0
110609.1	1	1	5	6	1	52	1	1	0
110609.1	1	1	5	6	2	52	1	1	1
110609.1	1	1	5	6	3	52	1	1	1
110609.1	1	1	5	6	4	52	1	1	1
110609.1	1	1	5	6	5	52	1	1	1
110609.1	1	1	5	6	6	52	0	1	0
