* Dictionary *
paper:      paper #, labelled with authors and year
session:    session #
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
coop:       = 1 if subject cooperated, = 0 o/w
order:		for experiments with within subjects design this number indicates the order of the treatments
**************/

paper	session	id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	coop	order
"Dal Bo (2005)"	11100	11107	11116	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11108	11128	6	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11108	11129	7	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11108	11130	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11108	11116	9	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11108	11117	10	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11109	11129	6	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11109	11130	7	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11109	11116	8	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11109	11117	9	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11109	11118	10	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11110	11130	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11110	11116	7	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11110	11117	8	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11110	11118	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11110	11119	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11111	11116	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11111	11117	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11111	11118	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11111	11119	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11111	11120	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11112	11117	6	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11112	11118	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
