* Dictionary *
score2007:		percentage of votes in the second round of the 2007 elections
score1992:		percentage of votes in the second round of the 2002 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

score2002	score1997	male	male_opp	district	age	age_opp	last_name	first_name	status	status_opp	party	expenditures	party_support
.5084	.5345	1	1	"31//1"	49.49	54.1	"Douste-Blazy"	"Philippe"	"M"	"N"	"UMP"	12526	0
.4916	.4655	1	1	"31//1"	54.1	49.49	"Labeyrie"	"Pierre"	"N"	"M"	"Verts/G"	28614	0
.5146	.5559	1	0	"31//2"	56.4	58.7	"Bapt"	"Gérard"	"I"	"N"	"PS/G"	29851	0
.4854	.4441	0	1	"31//2"	58.7	56.4	"Damin"	"Danièle"	"N"	"I"	"UMP/UDF"	35821	10305
.5105	.5535	1	1	"31//3"	52.28	41.94	"Cohen"	"Pierre"	"I"	"N"	"PS"	50075	0
.4895	.4465	1	1	"31//3"	41.94	52.28	"Moudenc"	"Jean-Luc"	"N"	"I"	"UMP/UDF"	47220	10000
.4912	.504	0	1	"31//4"	55.58	63.19	"Benayoun-Nakache"	"Yvette"	"I"	"L"	"PS/G"	27625	0
.5088	.496	1	0	"31//4"	63.19	55.58	"Diebold"	"Jean"	"L"	"I"	"UMP/UDF"	25125	10000
.5688	.6037	0	0	"31//5"	54.79	50.33	"Imbert"	"Françoise"	"I"	"N"	"PS/G"	31949	0
.4312	.3963	0	0	"31//5"	50.33	54.79	"de Cazaux"	"Geneviève"	"N"	"I"	"UMP/UDF"	24975	10000
.5357	.5847	0	0	"31//6"	68.02	58.82	"Mignon"	"Hélène"	"I"	"L"	"PS/G"	40120	0
.4643	.4153	0	0	"31//6"	58.82	68.02	"de Veyrinas"	"Françoise"	"L"	"I"	"UMP/UDF"	30455	10000
.5619	.6338	1	1	"31//7"	50.11	52.06	"Lemasle"	"Patrick"	"M"	"N"	"PS/G"	30913	0
.4381	.3662	1	1	"31//7"	52.06	50.11	"Bastiani"	"Jean-Pierre"	"N"	"M"	"UMP/UDF"	30465	10000
.6082	.6352	1	1	"31//8"	52.16	60.35	"Idiart"	"Jean-Louis"	"I"	"N"	"PS/G"	27745	0
.3918	.3648	1	1	"31//8"	60.35	52.16	"Rettig"	"René"	"N"	"I"	"UDF/UMP"	30821	5000
.4363	.4418	0	1	"32//1"	56.14	48.6	"Broussy"	"Geneviève"	"N"	"N"	"UMP/D"	22420	10000
.5637	.5582	1	0	"32//1"	48.6	56.14	"Martin"	"Philippe"	"N"	"N"	"PS/G"	12227	0
