* Dictionary *
round:                    round # [1:6]
payoff:                   payoff in that round (realization of the lottery given the choice or payoff to adviser if advisee follows advice)
preference_0:             priority given to knowing The prob of the outcome being lower than 4 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_1:             priority given to knowing The prob of the outcome being greater than 16 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_2:             priority given to knowing The prob of the outcome being b/w 8 and 12 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
numadvice:                number of pieces of advice deciders were shown [1:3]; set to missing for treatments ~= 3
advice_X:                 identifier (corresponding to reasons) of the piece of advice given in position X <= numadvice (see reasonno below); set to missing for treatments ~= 3
dist_left:                which distribution is on the left [0:4]
dist_right:               which distribution is on the right [0:5]
choice:                   = 1 if choose right distribution; = 0 if choose left distribution; set to missing for adviser
date:                     date of session (different sessions on same day are differentiated by decimals)
treatment:                = 1 for advice; = 2 for control - no advice; = 3 for priority
profit:                   payoff from first part -- survey and Holt-Laury (excluding show-up fee: $15)
female:                   = 1 if female; = 0 if male
age:                      age of subject
sn, se, so, sa, sc:       scores on the big 5 scales, respectively Neuroticism, Extraversion, Openness to Experience, Agreeableness, and Conscientiousness
snp, sep, sop, sap, scp:  percentalies scores associated to sn, se, so, sa, sc using population percentile scores and adjusted for age and gender
rs:                       score on the sensation seeking scale
rstas, rses, rsdis, rsbd: subscales of rs, respectively Thrill and adventure seeking, Experience seeking, Disinhibition, and Boredom susceptibility
group:                    unique identifier for people matched together
id:                       unique subject identifier
adviser:                  = 1 if subject is an advisor; 0 o/w
reasonno:                 identifies the reason used by the advisor, i.e.
                          = 0 for "The prob of the outcome being lower than 4 is..."
                          = 1 for "The prob of the outcome being greater than 16 is..."
                          = 2 for "The prob of the outcome being b/w 8 and 12 is..."
reason_used:              reason number given to decider [0:2]; set to missing if adviser == 1 | treatment > 1
a:                        = advice but on the decider row; set to missing if adviser == 1 | treatment ~= 1
follow:                   = 1 if decision = advice and 0 o/w; set to missing for treatments ~= 1
advice:                   = 1 if advice is for the right; = 0 if advice if for the left; set to missing for decider
ra:                       = sum of number of safe decisions; set to missing if took safe decision, then risky, then safe again
high_var:                 = 1 if subject selected the option with highest variance; = 0  if subject selected the option with lowest variance; set to missing for advisor.
crra:                     = coefficient of constant relative risk aversion consistent with choices in the Holt-Laury lottery; set to missing if switch at first or last choice.
**************
round	payoff	preference_0	preference_1	preference_2	numadvice	advice_0	advice_1	advice_2	dist_left	dist_right	choice	date	treatment	profit	female	age	sn	se	so	sa	sc	snp	sep	sop	sap	scp	rs	rstas	rses	rsdis	rsbd	group	id	adviser	reasonno	reason_used	a	follow	advice	ra	high_var	crra
3	0								0	3	0	52908.2	2	3.9	0	21	54.87257	63.87245	57.502	58.229	38.43728	67	92	75	77	13	30	7	10	8	5	62	104	0						6	0	.545
4	0								0	2	0	52908.2	2	3.9	0	21	54.87257	63.87245	57.502	58.229	38.43728	67	92	75	77	13	30	7	10	8	5	62	104	0						6	0	.545
5	8								1	2	1	52908.2	2	3.9	0	21	54.87257	63.87245	57.502	58.229	38.43728	67	92	75	77	13	30	7	10	8	5	62	104	0						6	1	.545
6	0								0	1	1	52908.2	2	3.9	0	21	54.87257	63.87245	57.502	58.229	38.43728	67	92	75	77	13	30	7	10	8	5	62	104	0						6	1	.545
1	0								0	2	0	52908.2	2	1.6	0	18	62.1036	49.54457	50.82457	38.41746	66.79779	88	48	52	12	96	18	6	5	3	4	63	109	0						6	0	.545
2	0								0	1	0	52908.2	2	1.6	0	18	62.1036	49.54457	50.82457	38.41746	66.79779	88	48	52	12	96	18	6	5	3	4	63	109	0						6	0	.545
3	0								1	3	0	52908.2	2	1.6	0	18	62.1036	49.54457	50.82457	38.41746	66.79779	88	48	52	12	96	18	6	5	3	4	63	109	0						6	0	.545
4	20								2	3	1	52908.2	2	1.6	0	18	62.1036	49.54457	50.82457	38.41746	66.79779	88	48	52	12	96	18	6	5	3	4	63	109	0						6	1	.545
5	0								1	2	1	52908.2	2	1.6	0	18	62.1036	49.54457	50.82457	38.41746	66.79779	88	48	52	12	96	18	6	5	3	4	63	109	0						6	1	.545
6	0								0	3	0	52908.2	2	1.6	0	18	62.1036	49.54457	50.82457	38.41746	66.79779	88	48	52	12	96	18	6	5	3	4	63	109	0						6	0	.545
1	0								2	3	0	52908.2	2	3.9	1	22	55.48267	56.98087	60.49383	60.61457	53.91492	69	73	84	84	63	24	4	7	7	6	64	103	0						7	0	.825
2	9								0	2	0	52908.2	2	3.9	1	22	55.48267	56.98087	60.49383	60.61457	53.91492	69	73	84	84	63	24	4	7	7	6	64	103	0						7	0	.825
3	0								0	1	1	52908.2	2	3.9	1	22	55.48267	56.98087	60.49383	60.61457	53.91492	69	73	84	84	63	24	4	7	7	6	64	103	0						7	1	.825
4	0								1	3	0	52908.2	2	3.9	1	22	55.48267	56.98087	60.49383	60.61457	53.91492	69	73	84	84	63	24	4	7	7	6	64	103	0						7	0	.825
5	0								0	3	0	52908.2	2	3.9	1	22	55.48267	56.98087	60.49383	60.61457	53.91492	69	73	84	84	63	24	4	7	7	6	64	103	0						7	0	.825
6	0								1	2	0	52908.2	2	3.9	1	22	55.48267	56.98087	60.49383	60.61457	53.91492	69	73	84	84	63	24	4	7	7	6	64	103	0						7	0	.825
1	0								1	2	0	52908.2	2	1.6	1	27	54.86386	38.53825	57.20164	48.32309	44.54218	66	13	74	44	31	22	7	9	2	4	65	102	0						6	0	.545
2	0								0	3	0	52908.2	2	1.6	1	27	54.86386	38.53825	57.20164	48.32309	44.54218	66	13	74	44	31	22	7	9	2	4	65	102	0						6	0	.545
3	7								0	1	1	52908.2	2	1.6	1	27	54.86386	38.53825	57.20164	48.32309	44.54218	66	13	74	44	31	22	7	9	2	4	65	102	0						6	1	.545
4	0								1	3	0	52908.2	2	1.6	1	27	54.86386	38.53825	57.20164	48.32309	44.54218	66	13	74	44	31	22	7	9	2	4	65	102	0						6	0	.545
5	0								0	2	1	52908.2	2	1.6	1	27	54.86386	38.53825	57.20164	48.32309	44.54218	66	13	74	44	31	22	7	9	2	4	65	102	0						6	1	.545
6	0								2	3	1	52908.2	2	1.6	1	27	54.86386	38.53825	57.20164	48.32309	44.54218	66	13	74	44	31	22	7	9	2	4	65	102	0						6	1	.545
1	0								0	3	0	52908.2	2	1.6	1	19	45.89365	46.48865	47.45777	36.268	49.11683	35	37	40	8	46	19	10	5	2	2	66	110	0						6	0	.545
2	0								0	2	0	52908.2	2	1.6	1	19	45.89365	46.48865	47.45777	36.268	49.11683	35	37	40	8	46	19	10	5	2	2	66	110	0						6	0	.545
3	0								2	3	1	52908.2	2	1.6	1	19	45.89365	46.48865	47.45777	36.268	49.11683	35	37	40	8	46	19	10	5	2	2	66	110	0						6	1	.545
4	0								1	3	0	52908.2	2	1.6	1	19	45.89365	46.48865	47.45777	36.268	49.11683	35	37	40	8	46	19	10	5	2	2	66	110	0						6	0	.545
5	0								0	1	1	52908.2	2	1.6	1	19	45.89365	46.48865	47.45777	36.268	49.11683	35	37	40	8	46	19	10	5	2	2	66	110	0						6	1	.545
6	4								1	2	0	52908.2	2	1.6	1	19	45.89365	46.48865	47.45777	36.268	49.11683	35	37	40	8	46	19	10	5	2	2	66	110	0						6	0	.545
1	0								0	3	0	52908.2	2	1.6	1	22	53.00743	48.78415	43.20988	56.22475	48.14708	60	45	26	71	43	22	8	8	4	2	67	116	0						8	0	1.17
2	0								0	1	1	52908.2	2	1.6	1	22	53.00743	48.78415	43.20988	56.22475	48.14708	60	45	26	71	43	22	8	8	4	2	67	116	0						8	1	1.17
3	0								2	3	0	52908.2	2	1.6	1	22	53.00743	48.78415	43.20988	56.22475	48.14708	60	45	26	71	43	22	8	8	4	2	67	116	0						8	0	1.17
4	10								0	2	0	52908.2	2	1.6	1	22	53.00743	48.78415	43.20988	56.22475	48.14708	60	45	26	71	43	22	8	8	4	2	67	116	0						8	0	1.17
5	0								1	3	0	52908.2	2	1.6	1	22	53.00743	48.78415	43.20988	56.22475	48.14708	60	45	26	71	43	22	8	8	4	2	67	116	0						8	0	1.17
6	0								1	2	0	52908.2	2	1.6	1	22	53.00743	48.78415	43.20988	56.22475	48.14708	60	45	26	71	43	22	8	8	4	2	67	116	0						8	0	1.17
1	10								0	2	0	52908.2	2	1.6	1	20	40.12812	46.48865	33.09966	58.221	63.72045	17	37	2	77	91	12	2	4	5	1	68	119	0						6	0	.545
2	0								1	2	1	52908.2	2	1.6	1	20	40.12812	46.48865	33.09966	58.221	63.72045	17	37	2	77	91	12	2	4	5	1	68	119	0						6	1	.545
3	0								2	3	0	52908.2	2	1.6	1	20	40.12812	46.48865	33.09966	58.221	63.72045	17	37	2	77	91	12	2	4	5	1	68	119	0						6	0	.545
4	0								0	1	1	52908.2	2	1.6	1	20	40.12812	46.48865	33.09966	58.221	63.72045	17	37	2	77	91	12	2	4	5	1	68	119	0						6	1	.545
5	0								1	3	0	52908.2	2	1.6	1	20	40.12812	46.48865	33.09966	58.221	63.72045	17	37	2	77	91	12	2	4	5	1	68	119	0						6	0	.545
6	0								0	3	0	52908.2	2	1.6	1	20	40.12812	46.48865	33.09966	58.221	63.72045	17	37	2	77	91	12	2	4	5	1	68	119	0						6	0	.545
1	1								1	3	1	52908.2	2	1.6	1	21	58.57673	35.806	44.856	48.32309	31.56453	78	7	32	44	1	12	4	3	3	2	69	101	0						3	1	-.315
2	0								0	2	0	52908.2	2	1.6	1	21	58.57673	35.806	44.856	48.32309	31.56453	78	7	32	44	1	12	4	3	3	2	69	101	0						3	0	-.315
3	0								0	3	0	52908.2	2	1.6	1	21	58.57673	35.806	44.856	48.32309	31.56453	78	7	32	44	1	12	4	3	3	2	69	101	0						3	0	-.315
4	0								2	3	1	52908.2	2	1.6	1	21	58.57673	35.806	44.856	48.32309	31.56453	78	7	32	44	1	12	4	3	3	2	69	101	0						3	1	-.315
5	0								0	1	1	52908.2	2	1.6	1	21	58.57673	35.806	44.856	48.32309	31.56453	78	7	32	44	1	12	4	3	3	2	69	101	0						3	1	-.315
6	0								1	2	1	52908.2	2	1.6	1	21	58.57673	35.806	44.856	48.32309	31.56453	78	7	32	44	1	12	4	3	3	2	69	101	0						3	1	-.315
1	0								0	3	0	52908.2	2	.1	1	25	38.15594	55.61475	53.08642	50.957	58.24081	12	69	60	53	77	29	10	8	9	2	70	105	0						2	0	-.72
2	0								1	2	1	52908.2	2	.1	1	25	38.15594	55.61475	53.08642	50.957	58.24081	12	69	60	53	77	29	10	8	9	2	70	105	0						2	1	-.72
3	0								1	3	0	52908.2	2	.1	1	25	38.15594	55.61475	53.08642	50.957	58.24081	12	69	60	53	77	29	10	8	9	2	70	105	0						2	0	-.72
4	0								2	3	1	52908.2	2	.1	1	25	38.15594	55.61475	53.08642	50.957	58.24081	12	69	60	53	77	29	10	8	9	2	70	105	0						2	1	-.72
5	0								0	2	1	52908.2	2	.1	1	25	38.15594	55.61475	53.08642	50.957	58.24081	12	69	60	53	77	29	10	8	9	2	70	105	0						2	1	-.72
6	0								0	1	1	52908.2	2	.1	1	25	38.15594	55.61475	53.08642	50.957	58.24081	12	69	60	53	77	29	10	8	9	2	70	105	0						2	1	-.72
1	0								0	2	1	52908.2	2	3.9	0	19	54.52306	48.89395	54.0582	47.28513	48.16425	65	46	64	40	43	30	5	9	8	8	71	112	0						5	1	.28
2	0								0	1	1	52908.2	2	3.9	0	19	54.52306	48.89395	54.0582	47.28513	48.16425	65	46	64	40	43	30	5	9	8	8	71	112	0						5	1	.28
3	10								1	2	0	52908.2	2	3.9	0	19	54.52306	48.89395	54.0582	47.28513	48.16425	65	46	64	40	43	30	5	9	8	8	71	112	0						5	0	.28
4	0								1	3	0	52908.2	2	3.9	0	19	54.52306	48.89395	54.0582	47.28513	48.16425	65	46	64	40	43	30	5	9	8	8	71	112	0						5	0	.28
5	0								2	3	0	52908.2	2	3.9	0	19	54.52306	48.89395	54.0582	47.28513	48.16425	65	46	64	40	43	30	5	9	8	8	71	112	0						5	0	.28
6	0								0	3	0	52908.2	2	3.9	0	19	54.52306	48.89395	54.0582	47.28513	48.16425	65	46	64	40	43	30	5	9	8	8	71	112	0						5	0	.28
1	0	2	0	1	3	1	2	0	0	2	0	70308.1	3	2	1	21	59.19555	29.65847	34.97942	50.957	37.33237	80	0	5	53	10	8	2	4	0	2	72	125	0						7	0	.825
2	0	2	0	1	3	1	2	0	0	3	0	70308.1	3	2	1	21	59.19555	29.65847	34.97942	50.957	37.33237	80	0	5	53	10	8	2	4	0	2	72	125	0						7	0	.825
3	0	2	0	1	1	1			1	3	1	70308.1	3	2	1	21	59.19555	29.65847	34.97942	50.957	37.33237	80	0	5	53	10	8	2	4	0	2	72	125	0						7	1	.825
4	0	2	0	1	1	1			1	2	1	70308.1	3	2	1	21	59.19555	29.65847	34.97942	50.957	37.33237	80	0	5	53	10	8	2	4	0	2	72	125	0						7	1	.825
5	8	2	0	1	1	1			0	1	0	70308.1	3	2	1	21	59.19555	29.65847	34.97942	50.957	37.33237	80	0	5	53	10	8	2	4	0	2	72	125	0						7	0	.825
6	0	2	0	1	2	1	2		2	3	1	70308.1	3	2	1	21	59.19555	29.65847	34.97942	50.957	37.33237	80	0	5	53	10	8	2	4	0	2	72	125	0						7	1	.825
1	0	0	1	2	3	0	1	2	0	3	0	70308.1	3	2	0	21	60.33374	33.62919	59.083	62.80916	40.53959	83	3	80	89	18	19	6	8	4	1	73	128	0						6	0	.545
2	0	0	1	2	3	0	1	2	1	3	0	70308.1	3	2	0	21	60.33374	33.62919	59.083	62.80916	40.53959	83	3	80	89	18	19	6	8	4	1	73	128	0						6	0	.545
3	0	0	1	2	3	0	1	2	0	2	0	70308.1	3	2	0	21	60.33374	33.62919	59.083	62.80916	40.53959	83	3	80	89	18	19	6	8	4	1	73	128	0						6	0	.545
4	20	0	1	2	2	0	1		2	3	1	70308.1	3	2	0	21	60.33374	33.62919	59.083	62.80916	40.53959	83	3	80	89	18	19	6	8	4	1	73	128	0						6	1	.545
5	0	0	1	2	1	0			1	2	1	70308.1	3	2	0	21	60.33374	33.62919	59.083	62.80916	40.53959	83	3	80	89	18	19	6	8	4	1	73	128	0						6	1	.545
6	0	0	1	2	1	0			0	1	0	70308.1	3	2	0	21	60.33374	33.62919	59.083	62.80916	40.53959	83	3	80	89	18	19	6	8	4	1	73	128	0						6	0	.545
1	0	0	1	2	2	0	1		0	2	0	70308.1	3	2	0	21	72.46966	29.68442	66.19762	53.64885	41.24036	99	0	96	62	20	24	8	8	5	3	74	138	0						8	0	1.17
2	0	0	1	2	3	0	1	2	1	2	0	70308.1	3	2	0	21	72.46966	29.68442	66.19762	53.64885	41.24036	99	0	96	62	20	24	8	8	5	3	74	138	0						8	0	1.17
3	0	0	1	2	2	0	1		1	3	1	70308.1	3	2	0	21	72.46966	29.68442	66.19762	53.64885	41.24036	99	0	96	62	20	24	8	8	5	3	74	138	0						8	1	1.17
4	0	0	1	2	3	0	1	2	0	1	0	70308.1	3	2	0	21	72.46966	29.68442	66.19762	53.64885	41.24036	99	0	96	62	20	24	8	8	5	3	74	138	0						8	0	1.17
5	10	0	1	2	2	0	1		0	3	0	70308.1	3	2	0	21	72.46966	29.68442	66.19762	53.64885	41.24036	99	0	96	62	20	24	8	8	5	3	74	138	0						8	0	1.17
6	0	0	1	2	2	0	1		2	3	0	70308.1	3	2	0	21	72.46966	29.68442	66.19762	53.64885	41.24036	99	0	96	62	20	24	8	8	5	3	74	138	0						8	0	1.17
1	0	2	1	0	2	2	1		0	2	1	70308.1	3	2	1	22	55.48267	44.68579	21.8107	54.46883	43.8212	69	31	1	65	28	11	5	3	1	2	75	130	0						6	1	.545
2	0	2	1	0	1	2			2	3	0	70308.1	3	2	1	22	55.48267	44.68579	21.8107	54.46883	43.8212	69	31	1	65	28	11	5	3	1	2	75	130	0						6	0	.545
3	0	2	1	0	2	2	1		1	3	1	70308.1	3	2	1	22	55.48267	44.68579	21.8107	54.46883	43.8212	69	31	1	65	28	11	5	3	1	2	75	130	0						6	1	.545
4	0	2	1	0	2	2	1		0	3	1	70308.1	3	2	1	22	55.48267	44.68579	21.8107	54.46883	43.8212	69	31	1	65	28	11	5	3	1	2	75	130	0						6	1	.545
5	11	2	1	0	2	2	1		0	1	0	70308.1	3	2	1	22	55.48267	44.68579	21.8107	54.46883	43.8212	69	31	1	65	28	11	5	3	1	2	75	130	0						6	0	.545
6	0	2	1	0	2	2	1		1	2	1	70308.1	3	2	1	22	55.48267	44.68579	21.8107	54.46883	43.8212	69	31	1	65	28	11	5	3	1	2	75	130	0						6	1	.545
1	0	0	2	1	3	0	2	1	1	3	0	70308.1	3	2	1	21	35.06188	52.88251	48.14815	52.7129	69.05552	5	60	43	59	99	17	8	5	1	3	76	132	0						6	0	.545
2	0	0	2	1	2	0	2		0	1	0	70308.1	3	2	1	21	35.06188	52.88251	48.14815	52.7129	69.05552	5	60	43	59	99	17	8	5	1	3	76	132	0						6	0	.545
3	0	0	2	1	1	0			2	3	0	70308.1	3	2	1	21	35.06188	52.88251	48.14815	52.7129	69.05552	5	60	43	59	99	17	8	5	1	3	76	132	0						6	0	.545
4	2	0	2	1	2	0	2		1	2	1	70308.1	3	2	1	21	35.06188	52.88251	48.14815	52.7129	69.05552	5	60	43	59	99	17	8	5	1	3	76	132	0						6	1	.545
5	0	0	2	1	2	0	2		0	3	0	70308.1	3	2	1	21	35.06188	52.88251	48.14815	52.7129	69.05552	5	60	43	59	99	17	8	5	1	3	76	132	0						6	0	.545
6	0	0	2	1	1	0			0	2	1	70308.1	3	2	1	21	35.06188	52.88251	48.14815	52.7129	69.05552	5	60	43	59	99	17	8	5	1	3	76	132	0						6	1	.545
1	0	0	1	2	3	0	1	2	2	3	0	70308.1	3	2	1	23	63.52723	35.806	46.50206	40.42142	39.49532	91	7	37	18	15	22	4	5	8	5	77	131	0						7	0	.825
2	0	0	1	2	3	0	1	2	1	2	0	70308.1	3	2	1	23	63.52723	35.806	46.50206	40.42142	39.49532	91	7	37	18	15	22	4	5	8	5	77	131	0						7	0	.825
3	0	0	1	2	3	0	1	2	1	3	0	70308.1	3	2	1	23	63.52723	35.806	46.50206	40.42142	39.49532	91	7	37	18	15	22	4	5	8	5	77	131	0						7	0	.825
4	10	0	1	2	1	0			0	1	0	70308.1	3	2	1	23	63.52723	35.806	46.50206	40.42142	39.49532	91	7	37	18	15	22	4	5	8	5	77	131	0						7	0	.825
5	0	0	1	2	1	0			0	3	0	70308.1	3	2	1	23	63.52723	35.806	46.50206	40.42142	39.49532	91	7	37	18	15	22	4	5	8	5	77	131	0						7	0	.825
6	0	0	1	2	1	0			0	2	1	70308.1	3	2	1	23	63.52723	35.806	46.50206	40.42142	39.49532	91	7	37	18	15	22	4	5	8	5	77	131	0						7	1	.825
1	0	1	0	2	2	1	0		0	2	1	70308.1	3	1.6	1	20	55.50288	39.81308	33.09966	42.324	52.59388	69	16	2	23	59	9	4	2	2	1	78	142	0						7	1	.825
2	0	1	0	2	3	1	0	2	0	3	0	70308.1	3	1.6	1	20	55.50288	39.81308	33.09966	42.324	52.59388	69	16	2	23	59	9	4	2	2	1	78	142	0						7	0	.825
3	0	1	0	2	2	1	0		2	3	1	70308.1	3	1.6	1	20	55.50288	39.81308	33.09966	42.324	52.59388	69	16	2	23	59	9	4	2	2	1	78	142	0						7	1	.825
4	0	1	0	2	3	1	0	2	1	3	1	70308.1	3	1.6	1	20	55.50288	39.81308	33.09966	42.324	52.59388	69	16	2	23	59	9	4	2	2	1	78	142	0						7	1	.825
5	6	1	0	2	1	1			0	1	1	70308.1	3	1.6	1	20	55.50288	39.81308	33.09966	42.324	52.59388	69	16	2	23	59	9	4	2	2	1	78	142	0						7	1	.825
6	0	1	0	2	1	1			1	2	0	70308.1	3	1.6	1	20	55.50288	39.81308	33.09966	42.324	52.59388	69	16	2	23	59	9	4	2	2	1	78	142	0						7	0	.825
1	2	0	2	1	2	0	2		1	3	1	70308.1	3	2	1	19	33.722	63.84513	66.88345	61.249	46.33519	3	92	97	86	37	29	9	8	10	2	79	137	0						7	1	.825
2	0	0	2	1	1	0			0	1	0	70308.1	3	2	1	19	33.722	63.84513	66.88345	61.249	46.33519	3	92	97	86	37	29	9	8	10	2	79	137	0						7	0	.825
3	0	0	2	1	3	0	2	1	1	2	1	70308.1	3	2	1	19	33.722	63.84513	66.88345	61.249	46.33519	3	92	97	86	37	29	9	8	10	2	79	137	0						7	1	.825
4	0	0	2	1	3	0	2	1	2	3	1	70308.1	3	2	1	19	33.722	63.84513	66.88345	61.249	46.33519	3	92	97	86	37	29	9	8	10	2	79	137	0						7	1	.825
5	0	0	2	1	3	0	2	1	0	2	0	70308.1	3	2	1	19	33.722	63.84513	66.88345	61.249	46.33519	3	92	97	86	37	29	9	8	10	2	79	137	0						7	0	.825
6	0	0	2	1	2	0	2		0	3	0	70308.1	3	2	1	19	33.722	63.84513	66.88345	61.249	46.33519	3	92	97	86	37	29	9	8	10	2	79	137	0						7	0	.825
1	0	2	1	0	1	2			1	2	1	70308.1	3	1.6	1	19	47.8155	47.82376	45.76858	39.296	60.9388	42	42	35	15	85	19	7	4	2	6	80	141	0						7	1	.825
2	0	2	1	0	1	2			0	2	0	70308.1	3	1.6	1	19	47.8155	47.82376	45.76858	39.296	60.9388	42	42	35	15	85	19	7	4	2	6	80	141	0						7	0	.825
3	0	2	1	0	1	2			0	3	0	70308.1	3	1.6	1	19	47.8155	47.82376	45.76858	39.296	60.9388	42	42	35	15	85	19	7	4	2	6	80	141	0						7	0	.825
4	0	2	1	0	3	2	1	0	2	3	1	70308.1	3	1.6	1	19	47.8155	47.82376	45.76858	39.296	60.9388	42	42	35	15	85	19	7	4	2	6	80	141	0						7	1	.825
5	0	2	1	0	3	2	1	0	0	1	0	70308.1	3	1.6	1	19	47.8155	47.82376	45.76858	39.296	60.9388	42	42	35	15	85	19	7	4	2	6	80	141	0						7	0	.825
6	12	2	1	0	1	2			1	3	0	70308.1	3	1.6	1	19	47.8155	47.82376	45.76858	39.296	60.9388	42	42	35	15	85	19	7	4	2	6	80	141	0						7	0	.825
1	0	1	0	2	1	1			1	2	0	70308.1	3	1.6	1	20	66.39333	41.1482	42.3902	55.95	47.0306	96	20	24	70	39	22	6	6	7	3	81	127	0						5	0	.28
2	0	1	0	2	3	1	0	2	1	3	1	70308.1	3	1.6	1	20	66.39333	41.1482	42.3902	55.95	47.0306	96	20	24	70	39	22	6	6	7	3	81	127	0						5	1	.28
3	0	1	0	2	3	1	0	2	0	1	0	70308.1	3	1.6	1	20	66.39333	41.1482	42.3902	55.95	47.0306	96	20	24	70	39	22	6	6	7	3	81	127	0						5	0	.28
4	0	1	0	2	2	1	0		2	3	0	70308.1	3	1.6	1	20	66.39333	41.1482	42.3902	55.95	47.0306	96	20	24	70	39	22	6	6	7	3	81	127	0						5	0	.28
5	0	1	0	2	1	1			0	3	1	70308.1	3	1.6	1	20	66.39333	41.1482	42.3902	55.95	47.0306	96	20	24	70	39	22	6	6	7	3	81	127	0						5	1	.28
6	12	1	0	2	3	1	0	2	0	2	0	70308.1	3	1.6	1	20	66.39333	41.1482	42.3902	55.95	47.0306	96	20	24	70	39	22	6	6	7	3	81	127	0						5	0	.28
1	0	1	0	2	2	1	0		0	3	1	70308.1	3	2	0	18	33.04485	49.54457	52.44139	57.517	60.58661	2	48	58	75	84	13	5	4	2	2	82	129	0						6	1	.545
2	0	1	0	2	3	1	0	2	0	1	0	70308.1	3	2	0	18	33.04485	49.54457	52.44139	57.517	60.58661	2	48	58	75	84	13	5	4	2	2	82	129	0						6	0	.545
3	0	1	0	2	1	1			0	2	1	70308.1	3	2	0	18	33.04485	49.54457	52.44139	57.517	60.58661	2	48	58	75	84	13	5	4	2	2	82	129	0						6	1	.545
4	0	1	0	2	1	1			1	3	1	70308.1	3	2	0	18	33.04485	49.54457	52.44139	57.517	60.58661	2	48	58	75	84	13	5	4	2	2	82	129	0						6	1	.545
5	6	1	0	2	2	1	0		1	2	0	70308.1	3	2	0	18	33.04485	49.54457	52.44139	57.517	60.58661	2	48	58	75	84	13	5	4	2	2	82	129	0						6	0	.545
6	0	1	0	2	3	1	0	2	2	3	0	70308.1	3	2	0	18	33.04485	49.54457	52.44139	57.517	60.58661	2	48	58	75	84	13	5	4	2	2	82	129	0						6	0	.545
1	0	0	2	1	3	0	2	1	2	3	1	70308.1	3	2	0	21	51.83859	54.01052	55.13043	42.96183	45.445	56	64	67	25	34	32	10	9	8	5	83	139	0						8	1	1.17
2	0	0	2	1	3	0	2	1	0	2	0	70308.1	3	2	0	21	51.83859	54.01052	55.13043	42.96183	45.445	56	64	67	25	34	32	10	9	8	5	83	139	0						8	0	1.17
3	0	0	2	1	1	0			0	1	0	70308.1	3	2	0	21	51.83859	54.01052	55.13043	42.96183	45.445	56	64	67	25	34	32	10	9	8	5	83	139	0						8	0	1.17
4	11	0	2	1	1	0			1	3	0	70308.1	3	2	0	21	51.83859	54.01052	55.13043	42.96183	45.445	56	64	67	25	34	32	10	9	8	5	83	139	0						8	0	1.17
5	0	0	2	1	2	0	2		0	3	0	70308.1	3	2	0	21	51.83859	54.01052	55.13043	42.96183	45.445	56	64	67	25	34	32	10	9	8	5	83	139	0						8	0	1.17
6	0	0	2	1	1	0			1	2	0	70308.1	3	2	0	21	51.83859	54.01052	55.13043	42.96183	45.445	56	64	67	25	34	32	10	9	8	5	83	139	0						8	0	1.17
1	0	0	1	2	2	0	1		1	3	1	70308.1	3	2	0	21	41.52306	57.29783	53.5494	42.19847	51.05116	21	74	62	23	53	26	10	6	6	4	84	126	0						6	1	.545
2	6	0	1	2	3	0	1	2	0	1	0	70308.1	3	2	0	21	41.52306	57.29783	53.5494	42.19847	51.05116	21	74	62	23	53	26	10	6	6	4	84	126	0						6	0	.545
3	0	0	1	2	3	0	1	2	0	2	0	70308.1	3	2	0	21	41.52306	57.29783	53.5494	42.19847	51.05116	21	74	62	23	53	26	10	6	6	4	84	126	0						6	0	.545
4	0	0	1	2	3	0	1	2	0	3	1	70308.1	3	2	0	21	41.52306	57.29783	53.5494	42.19847	51.05116	21	74	62	23	53	26	10	6	6	4	84	126	0						6	1	.545
5	0	0	1	2	1	0			1	2	0	70308.1	3	2	0	21	41.52306	57.29783	53.5494	42.19847	51.05116	21	74	62	23	53	26	10	6	6	4	84	126	0						6	0	.545
6	0	0	1	2	3	0	1	2	2	3	1	70308.1	3	2	0	21	41.52306	57.29783	53.5494	42.19847	51.05116	21	74	62	23	53	26	10	6	6	4	84	126	0						6	1	.545
1	0	2	0	1	1	1			1	3	1	70308.1	3	3.9	0	21	57.90655	43.49112	55.921	48.30534	56.65732	76	27	70	43	72	19	2	8	4	5	85	123	0						6	1	.545
2	0	2	0	1	1	1			0	3	1	70308.1	3	3.9	0	21	57.90655	43.49112	55.921	48.30534	56.65732	76	27	70	43	72	19	2	8	4	5	85	123	0						6	1	.545
3	0	2	0	1	2	1	2		1	2	1	70308.1	3	3.9	0	21	57.90655	43.49112	55.921	48.30534	56.65732	76	27	70	43	72	19	2	8	4	5	85	123	0						6	1	.545
4	0	2	0	1	1	1			0	2	1	70308.1	3	3.9	0	21	57.90655	43.49112	55.921	48.30534	56.65732	76	27	70	43	72	19	2	8	4	5	85	123	0						6	1	.545
5	20	2	0	1	2	1	2		2	3	1	70308.1	3	3.9	0	21	57.90655	43.49112	55.921	48.30534	56.65732	76	27	70	43	72	19	2	8	4	5	85	123	0						6	1	.545
6	0	2	0	1	3	1	2	0	0	1	0	70308.1	3	3.9	0	21	57.90655	43.49112	55.921	48.30534	56.65732	76	27	70	43	72	19	2	8	4	5	85	123	0						6	0	.545
