* Dictionary *
election:		election #
round:		round #
delta:		delta
amount:		amount to divide
weight:		nominal weight (number of votes)
probability:	selection probability
group:		identifies subjects that were grouped together
id:			id #, constant throught session
subject:		subject #, changes across elections
amount1:		offer to subjects #1
amount2:		offer to subjects #2
amount3:		offer to subjects #3
selected:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
date:			session date (month/day/year)
experienced:	= 1 if subjects have participated in 1 session before, 0 o/w
dropped:		identifies all the data that was dropped from the analysis reported in the paper because the proposal on the floor was from a subject that appeared confused, that subject participated in one inexperienced and one experienced session; = 1 if dropped, = 0 o/w
**************

election	round	delta	amount	weight	probability	group	id	subject	amount1	amount2	amount3	selected	vote	date	experienced	dropped
8	5	1	30	33	.3333333	3	11	3	1	15	14	0	1	22702	0	1
8	5	1	30	33	.3333333	3	15	2	0	16	14	1	1	22702	0	1
9	1	1	30	33	.3333333	1	10	2	12	18	0	0	0	22702	0	0
9	1	1	30	33	.3333333	1	11	3	15	1	14	1	1	22702	0	0
9	1	1	30	33	.3333333	1	12	1	15	15	0	0	1	22702	0	0
9	1	1	30	33	.3333333	2	4	3	0	14	16	0	0	22702	0	0
9	1	1	30	33	.3333333	2	14	1	16	14	0	1	1	22702	0	0
9	1	1	30	33	.3333333	2	15	2	13.58	16.41	.01	0	1	22702	0	0
9	1	1	30	33	.3333333	3	6	1	16	14	0	0	0	22702	0	0
9	1	1	30	33	.3333333	3	8	2	0	18	12	1	1	22702	0	0
9	1	1	30	33	.3333333	3	13	3	0	15	15	0	0	22702	0	0
9	1	1	30	33	.3333333	4	5	1	27	2	1	1	1	22702	0	0
9	1	1	30	33	.3333333	4	7	3	0	14	16	0	0	22702	0	0
9	1	1	30	33	.3333333	4	9	2	14	16	0	0	0	22702	0	0
9	1	1	30	33	.3333333	5	1	3	0	0	30	0	0	22702	0	1
9	1	1	30	33	.3333333	5	2	2	14	15	1	1	1	22702	0	1
9	1	1	30	33	.3333333	5	3	1	15	15	0	0	1	22702	0	1
9	2	1	30	33	.3333333	3	6	1	16	14	0	0	1	22702	0	0
9	2	1	30	33	.3333333	3	8	2	12	18	0	0	0	22702	0	0
9	2	1	30	33	.3333333	3	13	3	15	0	15	1	1	22702	0	0
9	2	1	30	33	.3333333	4	5	1	30	0	0	1	1	22702	0	0
9	2	1	30	33	.3333333	4	7	3	0	13	17	0	0	22702	0	0
9	2	1	30	33	.3333333	4	9	2	0	16	14	0	0	22702	0	0
9	3	1	30	33	.3333333	4	5	1	26	3	1	0	0	22702	0	0
9	3	1	30	33	.3333333	4	7	3	0	13	17	0	1	22702	0	0
9	3	1	30	33	.3333333	4	9	2	0	16	14	1	1	22702	0	0
10	1	1	30	33	.3333333	1	7	1	16	0	14	0	1	22702	0	0
10	1	1	30	33	.3333333	1	11	3	10	10	10	1	1	22702	0	0
10	1	1	30	33	.3333333	1	15	2	13.57	16.42	.01	0	0	22702	0	0
10	1	1	30	33	.3333333	2	4	1	16	0	14	1	1	22702	0	0
10	1	1	30	33	.3333333	2	6	2	5	20	5	0	0	22702	0	0
10	1	1	30	33	.3333333	2	8	3	9	9	12	0	1	22702	0	0
10	1	1	30	33	.3333333	3	1	2	15	15	0	1	1	22702	0	1
10	1	1	30	33	.3333333	3	5	1	17	8	5	0	1	22702	0	1
10	1	1	30	33	.3333333	3	12	3	15	0	15	0	0	22702	0	1
10	1	1	30	33	.3333333	4	2	1	20	5	5	0	0	22702	0	0
10	1	1	30	33	.3333333	4	3	2	15	15	0	0	1	22702	0	0
10	1	1	30	33	.3333333	4	13	3	0	15	15	1	1	22702	0	0
10	1	1	30	33	.3333333	5	9	3	14	0	16	1	1	22702	0	0
10	1	1	30	33	.3333333	5	10	2	10	20	0	0	0	22702	0	0
10	1	1	30	33	.3333333	5	14	1	16	14	0	0	0	22702	0	0
10	2	1	30	33	.3333333	5	9	3	0	14	16	0	0	22702	0	0
10	2	1	30	33	.3333333	5	10	2	0	20	10	0	1	22702	0	0
10	2	1	30	33	.3333333	5	14	1	16	14	0	1	1	22702	0	0
1	1	1	30	33	.3333333	1	3	1	18	12	0	1	1	22802	0	0
1	1	1	30	33	.3333333	1	8	3	10	5	15	0	1	22802	0	0
1	1	1	30	33	.3333333	1	10	2	12	18	0	0	1	22802	0	0
1	1	1	30	33	.3333333	2	1	3	15	9	6	1	0	22802	0	0
1	1	1	30	33	.3333333	2	5	1	25	5	0	0	1	22802	0	0
1	1	1	30	33	.3333333	2	12	2	5	20	5	0	1	22802	0	0
1	1	1	30	33	.3333333	3	2	3	4	6	20	0	1	22802	0	0
1	1	1	30	33	.3333333	3	4	2	0	20	10	1	1	22802	0	0
1	1	1	30	33	.3333333	3	9	1	20	10	0	0	0	22802	0	0
1	1	1	30	33	.3333333	4	6	1	10	10	10	1	1	22802	0	0
1	1	1	30	33	.3333333	4	7	3	0	12	18	0	0	22802	0	0
1	1	1	30	33	.3333333	4	11	2	14	16	0	0	1	22802	0	0
2	1	1	30	33	.3333333	1	2	3	0	5	25	0	0	22802	0	0
2	1	1	30	33	.3333333	1	4	1	22	0	8	1	1	22802	0	0
2	1	1	30	33	.3333333	1	6	2	10	10	10	0	0	22802	0	0
2	1	1	30	33	.3333333	2	7	1	18	12	0	0	1	22802	0	0
2	1	1	30	33	.3333333	2	8	2	15	10	5	1	1	22802	0	0
2	1	1	30	33	.3333333	2	9	3	0	10	20	0	0	22802	0	0
2	1	1	30	33	.3333333	3	1	2	10	20	0	0	1	22802	0	0
2	1	1	30	33	.3333333	3	3	1	20	10	0	1	1	22802	0	0
2	1	1	30	33	.3333333	3	5	3	5	5	20	0	0	22802	0	0
2	1	1	30	33	.3333333	4	10	2	12	18	0	0	0	22802	0	0
2	1	1	30	33	.3333333	4	11	3	0	14	16	0	0	22802	0	0
2	1	1	30	33	.3333333	4	12	1	30	0	0	1	1	22802	0	0
2	2	1	30	33	.3333333	1	2	3	2	12	16	0	0	22802	0	0
2	2	1	30	33	.3333333	1	4	1	20	10	0	1	1	22802	0	0
2	2	1	30	33	.3333333	1	6	2	10	10	10	0	0	22802	0	0
2	2	1	30	33	.3333333	4	10	2	12	18	0	0	1	22802	0	0
