* Dictionary *
round:		round #
stage:		stage #
delta:		delta
amount:		amount to divide
weight:		weight (number of votes)
group:		identifies subjects that were grouped together
id:			id #, constant through session
subject:		subject #, changes across elections
step:			step #
d1:			selected demand in step 1
d2:			selected demand in step 2
demand:		demand
o1:			subject number proposed to go first
o2:			subject number proposed to go second
o3:			subject number proposed to go third
close:		= 1 if subject proposed to close the coalition, = 0 o/w
selected:		demand selected to take the floor
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
experienced:	= 1 if subjects have participated in 1 session before, = 0 o/w
total_votes:	total # of votes per group
full:			= 1 if all subjects in that session are paid in full, 0 o/w
**************

round	stage	delta	amount	weight	group	id	subject	step	d1	d2	demand	o1	o2	o3	close	selected	date	experienced	total_votes	full
7	1	1	50	1	5	3	3	1			21	3	2	1	0	0	21004.1	0	5	1
7	1	1	50	2	5	8	1	1			27	1	2	3	0	0	21004.1	0	5	1
7	1	1	50	2	5	13	2	1			16.66	2	1	3	0	1	21004.1	0	5	1
7	1	1	50	2	6	1	2	1			28	2	1	3	0	1	21004.1	0	5	1
7	1	1	50	2	6	2	3	1			20.75	3	1	2	0	0	21004.1	0	5	1
7	1	1	50	1	6	18	1	1			25	1	2	3	0	0	21004.1	0	5	1
7	1	1	50	1	1	12	3	2	25		25				1	1	21004.1	0	5	1
7	1	1	50	2	2	16	1	2	15		35				1	1	21004.1	0	5	1
7	1	1	50	1	3	15	1	2	24		25.99				1	1	21004.1	0	5	1
7	1	1	50	2	4	5	1	2	24		26				1	1	21004.1	0	5	1
7	1	1	50	2	5	8	1	2	16.66		33.34				1	1	21004.1	0	5	1
7	1	1	50	1	6	18	1	2	28		25				0	1	21004.1	0	5	1
7	1	1	50	2	3	11	3	3	24	25.99	25				1	1	21004.1	0	5	1
7	1	1	50	2	6	2	3	3	28	25	24.5				1	1	21004.1	0	5	1
8	1	1	50	2	1	4	3	1			31.99	3	1	2	0	1	21004.1	0	5	1
8	1	1	50	2	1	8	1	1			27	1	2	3	0	0	21004.1	0	5	1
8	1	1	50	1	1	9	2	1			18	2	3	1	0	0	21004.1	0	5	1
8	1	1	50	2	2	7	1	1			20	1	3	2	0	0	21004.1	0	5	1
8	1	1	50	2	2	14	2	1			25	2	3	1	0	1	21004.1	0	5	1
8	1	1	50	1	2	15	3	1			24	3	1	2	0	0	21004.1	0	5	1
8	1	1	50	2	3	1	3	1			24.5	3	2	1	0	0	21004.1	0	5	1
8	1	1	50	2	3	2	2	1			22.22	2	1	3	0	0	21004.1	0	5	1
8	1	1	50	1	3	6	1	1			24	1	2	3	0	1	21004.1	0	5	1
8	1	1	50	2	4	5	2	1			25	2	1	3	0	0	21004.1	0	5	1
8	1	1	50	2	4	13	3	1			16.66	3	2	1	0	0	21004.1	0	5	1
8	1	1	50	1	4	18	1	1			24.75	1	3	2	0	1	21004.1	0	5	1
8	1	1	50	1	5	12	2	1			25	2	1	3	0	0	21004.1	0	5	1
8	1	1	50	2	5	16	3	1			25	3	2	1	0	1	21004.1	0	5	1
8	1	1	50	2	5	17	1	1			25	1	2	3	0	0	21004.1	0	5	1
8	1	1	50	1	6	3	2	1			20	2	1	3	0	0	21004.1	0	5	1
8	1	1	50	2	6	10	3	1			25	3	1	2	0	0	21004.1	0	5	1
8	1	1	50	2	6	11	1	1			12	1	3	2	0	1	21004.1	0	5	1
8	1	1	50	2	1	8	1	2	31.99		18.01				1	1	21004.1	0	5	1
8	1	1	50	1	2	15	3	2	25		24.5				1	1	21004.1	0	5	1
8	1	1	50	2	3	2	2	2	24		25.5				1	1	21004.1	0	5	1
8	1	1	50	2	4	13	3	2	24.75		25.25				1	1	21004.1	0	5	1
8	1	1	50	1	5	12	2	2	25		25				1	1	21004.1	0	5	1
8	1	1	50	2	6	10	3	2	12		48				0	1	21004.1	0	5	1
8	1	1	50	2	2	7	1	3	25	24.5	.5				1	1	21004.1	0	5	1
8	1	1	50	2	3	1	3	3	24	25.5	26				1	1	21004.1	0	5	1
8	1	1	50	1	6	3	2	3	12	48	37				1	1	21004.1	0	5	1
9	1	1	50	2	1	5	1	1			22	1	3	2	0	1	21004.1	0	5	1
9	1	1	50	2	1	10	2	1			25	2	1	3	0	0	21004.1	0	5	1
9	1	1	50	1	1	18	3	1			24.9	3	2	1	0	0	21004.1	0	5	1
9	1	1	50	1	2	12	1	1			25	1	2	3	0	0	21004.1	0	5	1
9	1	1	50	2	2	13	3	1			16.66	3	2	1	0	0	21004.1	0	5	1
9	1	1	50	2	2	14	2	1			25	2	1	3	0	1	21004.1	0	5	1
9	1	1	50	2	3	7	1	1			22	1	2	3	0	1	21004.1	0	5	1
9	1	1	50	1	3	9	2	1			15	2	1	3	0	0	21004.1	0	5	1
9	1	1	50	2	3	17	3	1			25	3	2	1	0	0	21004.1	0	5	1
9	1	1	50	2	4	2	1	1			23.33	1	3	2	0	1	21004.1	0	5	1
9	1	1	50	1	4	6	3	1			23	3	1	2	0	0	21004.1	0	5	1
9	1	1	50	2	4	16	2	1			25	2	3	1	0	0	21004.1	0	5	1
9	1	1	50	2	5	1	2	1			40	2	1	3	0	1	21004.1	0	5	1
9	1	1	50	1	5	3	3	1			22	3	1	2	0	0	21004.1	0	5	1
9	1	1	50	2	5	8	1	1			27	1	2	3	0	0	21004.1	0	5	1
9	1	1	50	2	6	4	2	1			26.99	2	1	3	0	0	21004.1	0	5	1
9	1	1	50	2	6	11	3	1			12	3	2	1	0	1	21004.1	0	5	1
9	1	1	50	1	6	15	1	1			24	1	2	3	0	0	21004.1	0	5	1
9	1	1	50	1	1	18	3	2	22		28				1	1	21004.1	0	5	1
9	1	1	50	1	2	12	1	2	25		25				1	1	21004.1	0	5	1
9	1	1	50	1	3	9	2	2	22		14				0	1	21004.1	0	5	1
9	1	1	50	1	4	6	3	2	23.33		30				0	1	21004.1	0	5	1
9	1	1	50	2	5	8	1	2	40		25				0	1	21004.1	0	5	1
9	1	1	50	2	6	4	2	2	12		38				1	1	21004.1	0	5	1
9	1	1	50	2	3	17	3	3	22	14	14				1	1	21004.1	0	5	1
9	1	1	50	2	4	16	2	3	23.33	30	6				0	1	21004.1	0	5	1
9	1	1	50	1	5	3	3	3	40	25	25				1	1	21004.1	0	5	1
9	2	1	50	2	4	2	1	1			24	1	3	2	0	1	21004.1	0	5	1
9	2	1	50	1	4	6	3	1			23	3	1	2	0	0	21004.1	0	5	1
9	2	1	50	2	4	16	2	1			25	2	3	1	0	0	21004.1	0	5	1
9	2	1	50	1	4	6	3	2	24		30				0	1	21004.1	0	5	1
9	2	1	50	2	4	16	2	3	24	30	5				0	1	21004.1	0	5	1
9	3	1	50	2	4	2	1	1			21.5	1	3	2	0	1	21004.1	0	5	1
9	3	1	50	1	4	6	3	1			31	3	1	2	0	0	21004.1	0	5	1
9	3	1	50	2	4	16	2	1			25	2	3	1	0	0	21004.1	0	5	1
9	3	1	50	1	4	6	3	2	21.5		31				0	1	21004.1	0	5	1
9	3	1	50	2	4	16	2	3	21.5	31	39				0	1	21004.1	0	5	1
9	4	1	50	2	4	2	1	1			24.75	1	3	2	0	1	21004.1	0	5	1
9	4	1	50	1	4	6	3	1			50	3	1	2	0	0	21004.1	0	5	1
9	4	1	50	2	4	16	2	1			25	2	3	1	0	0	21004.1	0	5	1
9	4	1	50	1	4	6	3	2	24.75		50				0	1	21004.1	0	5	1
9	4	1	50	2	4	16	2	3	24.75	50	0				0	1	21004.1	0	5	1
9	5	1	50	2	4	2	1	1			24.44	1	3	2	0	0	21004.1	0	5	1
9	5	1	50	1	4	6	3	1			21	3	1	2	0	1	21004.1	0	5	1
9	5	1	50	2	4	16	2	1			25	2	1	3	0	0	21004.1	0	5	1
9	5	1	50	2	4	2	1	2	21		26				1	1	21004.1	0	5	1
9	5	1	50	2	4	16	2	3	21	26	3				1	1	21004.1	0	5	1
10	1	1	50	2	1	4	2	1			26.99	2	1	3	0	0	21004.1	0	5	1
10	1	1	50	2	1	5	3	1			22	3	1	2	0	1	21004.1	0	5	1
10	1	1	50	1	1	12	1	1			25	1	2	3	0	0	21004.1	0	5	1
