**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Battalio et al (2001),1,43,24,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,43,25,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,43,31,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,43,33,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,43,35,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,43,36,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,43,37,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,44,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,44,24,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,44,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,44,31,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,44,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,44,35,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,44,36,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,44,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,45,14,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,45,24,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,45,25,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,45,31,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,45,33,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,45,35,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,45,36,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,45,37,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,46,14,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,46,24,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,46,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,46,31,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,46,33,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,46,35,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,46,36,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,46,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,47,14,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,47,24,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,47,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,47,31,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,47,33,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,47,35,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,47,36,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,47,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,48,14,35,45,0,42,12,1,0,random,0
