* Dictionary *
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
session:    session #
coop:       = 1 if subject cooperated, = 0 o/w
**************/

id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	session	coop
145	146	2	1	8	51	22	63	39	1	1.416667	.1910112	7	0
145	154	3	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	148	4	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	151	5	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	154	6	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	156	7	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	153	8	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	146	9	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	147	10	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	148	11	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	153	12	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	151	13	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	155	14	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	149	15	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	149	16	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	146	17	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	150	18	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	148	19	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	156	20	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	147	21	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	146	22	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	149	23	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	156	24	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	151	25	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	154	26	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	150	27	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	149	28	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	155	29	1	8	51	22	63	39	1	1.416667	.1910112	7	1
145	146	30	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	152	1	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	145	2	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	148	3	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	150	4	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	148	5	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	149	6	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	149	7	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	156	8	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	145	9	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	155	10	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	150	11	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	156	12	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	156	13	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	149	14	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	151	15	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	156	16	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	145	17	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	148	18	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	147	19	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	147	20	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	153	21	1	8	51	22	63	39	1	1.416667	.1910112	7	0
146	145	22	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	150	23	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	147	24	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	153	25	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	155	26	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	147	27	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	154	28	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	148	29	1	8	51	22	63	39	1	1.416667	.1910112	7	1
146	145	30	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	155	1	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	152	2	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	151	3	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	149	4	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	150	5	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	148	6	1	8	51	22	63	39	1	1.416667	.1910112	7	1
147	152	7	1	8	51	22	63	39	1	1.416667	.1910112	7	1
